Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,45.009998,45.529999,44.380001,44.950001,44.950001,22122500
2023-08-08,44.500000,45.240002,44.084999,45.160000,45.160000,14742200
2023-08-09,45.250000,45.459999,43.840000,44.110001,44.110001,20113000
2023-08-10,44.130001,45.180000,44.090000,44.599998,44.599998,16908200
2023-08-11,44.000000,44.299999,43.310001,43.709999,43.709999,16172800
2023-08-14,43.500000,44.884998,42.950001,44.849998,44.849998,15828800
2023-08-15,44.700001,44.880001,44.009998,44.080002,44.080002,13404700
2023-08-16,43.980000,44.330002,43.400002,43.650002,43.650002,14980800
2023-08-17,44.180000,44.860001,43.910000,43.970001,43.970001,21326600
2023-08-18,43.270000,44.840000,43.189999,44.689999,44.689999,17132100
2023-08-21,44.980000,45.299999,44.009998,44.630001,44.630001,15362100
2023-08-22,44.939999,45.180000,44.020000,44.349998,44.349998,13599800
2023-08-23,44.000000,45.615002,44.000000,45.139999,45.139999,14625800
2023-08-24,45.240002,45.720001,44.639999,44.680000,44.680000,18129600
2023-08-25,44.709999,44.840000,43.080002,43.959999,43.959999,19132500
2023-08-28,44.110001,44.520000,43.709999,44.150002,44.150002,10424100
2023-08-29,44.209999,45.584999,44.119999,45.349998,45.349998,11335400
2023-08-30,45.349998,46.750000,45.299999,46.509998,46.509998,19869400
2023-08-31,46.689999,47.570000,46.520000,47.230000,47.230000,19263800
2023-09-01,47.509998,47.700001,46.830002,47.040001,47.040001,14607000
2023-09-05,46.869999,47.139999,46.299999,46.549999,46.549999,16461700
2023-09-06,46.340000,46.849998,45.610001,45.900002,45.900002,14262700
2023-09-07,45.500000,46.680000,45.250000,46.270000,46.270000,14972200
2023-09-08,46.340000,47.250000,46.270000,47.240002,47.240002,15956900
2023-09-11,47.740002,48.970001,47.650002,48.939999,48.939999,19007300
2023-09-12,48.340000,49.188000,47.900002,47.919998,47.919998,18809000
2023-09-13,47.509998,48.360001,47.279999,48.160000,48.160000,12691800
2023-09-14,48.630001,48.695000,47.805000,48.320000,48.320000,13068200
2023-09-15,48.189999,48.490002,47.270000,47.520000,47.520000,16125700
2023-09-18,47.299999,47.348000,46.480000,46.509998,46.509998,15025500
2023-09-19,46.400002,47.755001,46.209999,47.590000,47.590000,19180200
2023-09-20,46.865002,47.540001,46.400002,46.549999,46.549999,22582000
2023-09-21,45.790001,45.790001,43.930000,44.599998,44.599998,27865700
2023-09-22,45.160000,45.345001,44.029999,44.410000,44.410000,16158700
2023-09-25,44.139999,45.110001,44.110001,44.910000,44.910000,9175400
2023-09-26,44.500000,45.389000,44.044998,44.270000,44.270000,11283600
2023-09-27,44.509998,45.473000,44.439999,45.139999,45.139999,16835100
2023-09-28,44.919998,46.580002,44.919998,46.139999,46.139999,22199200
